client_id,planned_event_id,start_time,status
da1850b72fffacad55a49bff669f48c0,a797920a-6889-47ca-9412-f67c970b13ab,2022-03-07,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,b4653c73-454b-4778-8523-acce2ffaa0eb,2022-03-09,COMPLETED
da1850b72fffacad55a49bff669f48c0,c410ab6d-a51b-48c2-82f6-1f6a578c9d61,2022-03-03,COMPLETED
da1850b72fffacad55a49bff669f48c0,86f14ada-335c-4609-b9a1-fa5ae14f8162,2022-03-11,COMPLETED
da1850b72fffacad55a49bff669f48c0,86f14ada-335c-4609-b9a1-fa5ae14f8162,2022-03-12,COMPLETED
da1850b72fffacad55a49bff669f48c0,86f14ada-335c-4609-b9a1-fa5ae14f8162,2022-03-13,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,86f14ada-335c-4609-b9a1-fa5ae14f8162,2022-03-14,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,86f14ada-335c-4609-b9a1-fa5ae14f8162,2022-03-15,COMPLETED
da1850b72fffacad55a49bff669f48c0,bb5e42d4-eae1-470f-a9b6-8949979439e1,2022-03-16,COMPLETED
da1850b72fffacad55a49bff669f48c0,8e6543ea-cb2b-4645-a1e5-2a81d21ada98,2022-05-19,COMPLETED
da1850b72fffacad55a49bff669f48c0,77039969-e65b-46a7-9208-8437723c03d9,2022-08-19,INCOMPLETED
1d32841fbf99d948283d2c35b410d032,1dd6fdad-cb6d-4663-8301-01b85d792dca,2020-07-03,INCOMPLETED
1d32841fbf99d948283d2c35b410d032,8da8e930-6296-4247-9a12-4e4eb8172af9,2020-07-06,INCOMPLETED
7623688af0394fd8c25bb3b56cab46f3,be94bf8e-06ab-4305-bdf0-abf30bbd4a97,2020-04-16,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,500fd50c-0756-4981-a74d-e6c24eb7a102,2020-01-28,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,1ff334d1-62a7-4ef0-8bff-f2c222b57de4,2020-01-28,COMPLETED
d9c3ee68f3b5529e854e6776985afc84,845f419e-16e4-4f36-86d5-ae388f225539,2020-01-28,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,ba2c7706-fbde-4fed-8338-51d6e8c32953,2020-07-08,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,adf2b95a-e19d-4618-9016-14a1504b2240,2020-02-03,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,78060fb1-74e7-43ed-a644-4c41a499bcb2,2020-02-03,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,f4a52fbd-97fd-48bb-9d2c-6fd05b34dabd,2020-02-03,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,c91a0537-b59f-4b1b-8040-fc7fe600ef47,2020-02-09,COMPLETED
d9c3ee68f3b5529e854e6776985afc84,fe7e94dd-e569-4974-acc5-ad708401e132,2020-02-09,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,259a2528-eab7-44bd-a753-f3fbc44c3217,2020-02-09,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,b05a32e9-d702-45f7-80fa-cf4c7368621e,2020-02-09,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,c6293b61-5abe-4fe8-adb2-c207306c9180,2020-02-10,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,8714e2ad-174e-4b1c-947e-b46034b25384,2020-02-10,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,c446be1d-7d9f-44dd-a868-9b152e8a7c8f,2020-02-11,INCOMPLETED
